Date mutation,Valeur fonciere,Code postal,Commune,Type local,Surface reelle bati,prix_m2
21/03/2024,1000000.0,09300,FREYCHENET,Maison,60.0,16666.666666666668
26/03/2024,2000000.0,09240,LA BASTIDE-DE-SEROU,Maison,270.0,7407.407407407408
21/03/2024,1000000.0,09140,USTOU,Maison,70.0,14285.714285714286
25/04/2024,350000.0,09300,LAVELANET,Maison,54.0,6481.481481481482
03/05/2024,300000.0,09300,NALZEN,Maison,42.0,7142.857142857143
24/05/2024,150000.0,09400,MERCUS-GARRABET,Maison,60.0,2500.0
07/05/2024,800000.0,09800,BONAC-IRAZEIN,Maison,55.0,14545.454545454546
04/05/2024,1000000.0,09230,SAINTE-CROIX-VOLVESTRE,Maison,90.0,11111.111111111111
23/05/2024,750000.0,09000,CELLES,Maison,74.0,10135.135135135135
04/06/2024,1225000.0,09000,PRADIERES,Maison,106.0,11556.603773584906
25/06/2024,1800000.0,09500,LAGARDE,Maison,101.0,17821.78217821782
17/07/2024,300000.0,09300,MONTFERRIER,Maison,80.0,3750.0
16/07/2024,90000.0,09230,FABAS,Maison,136.0,661.7647058823529
30/07/2024,2000000.0,09460,ARTIGUES,Maison,140.0,14285.714285714286
22/07/2024,100000.0,09140,ERCE,Maison,96.0,1041.6666666666667
22/08/2024,820000.0,09800,BONAC-IRAZEIN,Maison,42.0,19523.809523809523
12/09/2024,900000.0,09230,MONTARDIT,Maison,84.0,10714.285714285714
06/09/2024,1000000.0,09000,ST-PAUL-DE-JARRAT,Maison,108.0,9259.25925925926
24/09/2024,650000.0,09200,MOULIS,Maison,40.0,16250.0
07/10/2024,1096700.0,09300,LAVELANET,Maison,78.0,14060.25641025641
09/10/2024,1600000.0,09420,CASTELNAU-DURBAN,Maison,92.0,17391.304347826088
22/10/2024,500000.0,09100,PAMIERS,Maison,75.0,6666.666666666667
21/10/2024,1300000.0,09330,MONTGAILHARD,Appartement,125.0,10400.0
05/11/2024,1800000.0,09000,FOIX,Maison,147.0,12244.897959183674
19/11/2024,1800000.0,09320,BOUSSENAC,Maison,97.0,18556.701030927834
29/11/2024,1400000.0,09800,SENTEIN,Maison,90.0,15555.555555555555
28/11/2024,550000.0,09160,MERCENAC,Maison,50.0,11000.0
02/12/2024,1310000.0,09800,SALSEIN,Maison,80.0,16375.0
16/12/2024,2578750.0,09240,LARBONT,Maison,160.0,16117.1875
16/12/2024,1500000.0,09330,MONTGAILHARD,Maison,116.0,12931.034482758621
27/12/2024,260000.0,09110,AX-LES-THERMES,Appartement,107.0,2429.9065420560746
23/12/2024,550000.0,09160,BETCHAT,Maison,54.0,10185.185185185184
20/12/2024,90000.0,09320,BIERT,Maison,43.0,2093.0232558139537
20/12/2024,90000.0,09320,BIERT,Maison,30.0,3000.0
23/12/2024,500000.0,09290,LE MAS-D AZIL,Maison,62.0,8064.5161290322585
17/12/2024,1500000.0,09220,SIGUER,Maison,205.0,7317.073170731707
30/12/2024,50000.0,09110,PERLES-ET-CASTELET,Maison,53.0,943.3962264150944
19/01/2024,250000.0,10700,ARCIS SUR AUBE,Appartement,19.0,13157.894736842105
19/01/2024,250000.0,10700,ARCIS SUR AUBE,Appartement,16.0,15625.0
19/01/2024,250000.0,10700,ARCIS SUR AUBE,Appartement,16.0,15625.0
19/01/2024,250000.0,10700,ARCIS SUR AUBE,Appartement,19.0,13157.894736842105
31/01/2024,500000.0,10330,MONTMORENCY BEAUFORT,Maison,60.0,8333.333333333334
03/02/2024,1500000.0,10130,AVREUIL,Maison,113.0,13274.336283185841
08/02/2024,2805000.0,10510,MAIZIERES LA GRANDE PAROISSE,Maison,160.0,17531.25
31/01/2024,529500.0,10200,ARRENTIERES,Maison,112.0,4727.678571428572
31/01/2024,529500.0,10200,ARRENTIERES,Maison,70.0,7564.285714285715
07/02/2024,1208300.0,10230,MAILLY LE CAMP,Maison,80.0,15103.75
07/02/2024,1208300.0,10230,MAILLY LE CAMP,Maison,158.0,7647.46835443038
